caso,archivo,tamano_bytes,sha256,fecha_hora_utc,head_git
V2-NS-1,V2-NS-1_ANTES_ORACULO.json,14888,c9f9be73431f56ecc841c3acbdb64286e2755e777bc506346de3de3023c419a4,2026-08-28T00:56:55.857400+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-NS-2,V2-NS-2_ANTES_ORACULO.json,12109,ec1168997f6b1be06bf3ac35734cdb82621c06a37de28bffa10e351e5187a5dc,2026-08-28T00:56:55.857428+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-OP-A,V2-OP-A_ANTES_ORACULO.json,15226,b466d4fec6c56e74a04de773c8d086bfe32fc78db7fcbc83ffa6636308c958d4,2026-08-28T00:56:55.857450+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-OP-B,V2-OP-B_ANTES_ORACULO.json,14825,d1c75e223cbe213235221e0d8da8b65c677bd0a3433bda04dd92837a73dfb2ca,2026-08-28T00:56:55.857469+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-OP-C,V2-OP-C_ANTES_ORACULO.json,14899,6372f808ac811acd2821e42446d9d48113615838cb226fde6ecc9f888b8c95b7,2026-08-28T00:56:55.857488+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-OP-D,V2-OP-D_ANTES_ORACULO.json,34481,d6ae1b218da2487f7b77a21608fbb9e65182dd42e507fd9690e383a7d3ce3799,2026-08-28T00:56:55.857540+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-OP-E,V2-OP-E_ANTES_ORACULO.json,14642,d1c9f81ba13afb9ecb0595bb184bc079ef052014ec345487ea28044f9e311003,2026-08-28T00:56:55.857560+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-OP-F,V2-OP-F_ANTES_ORACULO.json,15192,0a6c7ee29d3c40f17333ee4eb0e2b0293c580f2a60f40471871a17711209583c,2026-08-28T00:56:55.857578+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-PX-1,V2-PX-1_ANTES_ORACULO.json,2334,6b82979f2c118bebca2d13af8b619df77eaec6da6c54995454bef3f049fdffd9,2026-08-28T00:56:55.857590+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-PX-2,V2-PX-2_ANTES_ORACULO.json,843,4d9da7b270d5ef98b452e6033f74d2412af72f29ed0fbdffe301caf075b8b98e,2026-08-28T00:56:55.857600+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-PX-3,V2-PX-3_ANTES_ORACULO.json,13679,efcef8bce7572e08839b2d0ebdaa178b800d788761e04b718605fd77979905d5,2026-08-28T00:56:55.857617+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
V2-PX-4,V2-PX-4_ANTES_ORACULO.json,5041,249482a30aa4d8182ee86d0e68bb6efc13572ab5b1a7b1e82b39468bea0e1fdb,2026-08-28T00:56:55.857629+00:00,c8a67b35847fbebb21b0c749f6e82c0c641e8fcc
