caso,archivo,tamano_bytes,sha256,fecha_hora_utc,head_git
V2-NS-1,V2-NS-1_ANTES_ORACULO.json,15032,fd7ab7c9369237995b16d3e6df63b8a5526be9b80d22705cf978dc3cba2c4524,2026-08-28T01:20:36.618414+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-NS-2,V2-NS-2_ANTES_ORACULO.json,12253,c3f83cd053b7e0de969669a9dd3c872b1ddfba86f4e9c7f9a91603a5efc7776e,2026-08-28T01:20:36.618443+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-OP-A,V2-OP-A_ANTES_ORACULO.json,17848,7f137aa3aaeef65039940165e25eab3f21d6077f9a47a436414d7bc0dcdcf590,2026-08-28T01:20:36.618470+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-OP-B,V2-OP-B_ANTES_ORACULO.json,923,bd34506f7940751bf4894219e57987bf6710caff93610909edad80625479f8c2,2026-08-28T01:20:36.618483+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-OP-C,V2-OP-C_ANTES_ORACULO.json,15043,f53b76bff5e36c933013e74f377c531b5254fc906536be5cb219b429210c0b61,2026-08-28T01:20:36.618503+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-OP-D,V2-OP-D_ANTES_ORACULO.json,34801,2b391d777988730d659b86d8cfc834d7d035db92c91e8cc75d38b0ee1a1e363b,2026-08-28T01:20:36.618541+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-OP-E,V2-OP-E_ANTES_ORACULO.json,14874,ae1482011782a529df7976d86da6233f51d4685121e004afcae0ccd9928fa50b,2026-08-28T01:20:36.618560+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-OP-F,V2-OP-F_ANTES_ORACULO.json,15809,369e9a383dc455b84a730d00455fda55731d3c2e86178f82a8d4f68924f5e3c3,2026-08-28T01:20:36.618579+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-PX-1,V2-PX-1_ANTES_ORACULO.json,2346,29c209419360117b1b92f8930d52f9ae22d047934488aff03b97c452846eea25,2026-08-28T01:20:36.618591+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-PX-2,V2-PX-2_ANTES_ORACULO.json,843,9e740ba002b363d8e0ea8821fd09e88a7f9376c7104885830026d9288b602595,2026-08-28T01:20:36.618601+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-PX-3,V2-PX-3_ANTES_ORACULO.json,13823,dd91743fd7aacf88b590f5b5bb5e2aacee4eb4b0afd1d32138a8e145c56ce5c0,2026-08-28T01:20:36.618620+00:00,3af0be53748e37e972088b49664d896ddba65b54
V2-PX-4,V2-PX-4_ANTES_ORACULO.json,5041,9c12af9ca87e76624edf0e70b03d429e5e87f6eb9f163814ba689f5d74e8d9d9,2026-08-28T01:20:36.618631+00:00,3af0be53748e37e972088b49664d896ddba65b54
